page,match,classification,suggested_fix,reason,context
375,12g,suspect_micro_as_g,12 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(12g) → ㎍(마이크로그램) 오인 가능.,"l 이하인 IPSS risk category low 또는 Intermediate-1 환자 나. Hb 12g/dL 또는 Hct 36%까지 요양급여를 인정하며, 진료비 청구 시 매월별 혈액검사 결과치를 첨부 하여야"
376,11g,suspect_micro_as_g,11 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(11g) → ㎍(마이크로그램) 오인 가능.,"미만인 환자에 한함) - 다만, 동 조건에 해당하여 약제를 투여하다 중단한 경우 Hb 10-11g/dL(또는 Hct 30-33%)의 유지를 위하여 재투여 시 요양급여를 인정함. 2) Hb 11g/"
376,11g,suspect_micro_as_g,11 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(11g) → ㎍(마이크로그램) 오인 가능.,"-11g/dL(또는 Hct 30-33%)의 유지를 위하여 재투여 시 요양급여를 인정함. 2) Hb 11g/dL 또는 Hct 33%까지 요양급여를 인정하며, 진료비 청구 시 매월별 혈액검사 결과치를 첨부 하여야"
376,12g,suspect_micro_as_g,12 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(12g) → ㎍(마이크로그램) 오인 가능.,"종양 환자의 빈혈치료 1) Hb 10g/dL 이하 또는 Hct 30% 이하인 경우 2) Hb 12g/dL 또는 Hct 36%까지 요양급여를 인정하며, 진료비 청구 시 매월별 혈액검사 결과치를 첨부 하여야"
376,10g,suspect_micro_as_g,10 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(10g) → ㎍(마이크로그램) 오인 가능.,동 인정기준 이외에는 약값 전액을 환자가 부담토록 함. - 아 래 - 가. 헤모글로불린(Hb) 10g/dL 이하 또는 헤마토크리트 (Hct) 30% 이하이면서 Erythropoietin 500mU/ml 이하
377,12g,suspect_micro_as_g,12 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(12g) → ㎍(마이크로그램) 오인 가능.,"❘ 370 ❘ 구 분 세부인정기준 및 방법 나. Hb 12g/dL 또는Hct 36%까지 요양급여를 인정하며, 진료비 청구 시 매월별 혈액검사 결과치를 첨부하여야 함."
380,11g,suspect_micro_as_g,11 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(11g) → ㎍(마이크로그램) 오인 가능.,"미만인 환자에 한함) - 다만, 동 조건에 해당하여 약제를 투여하다 중단한 경우 Hb 10-11g/dL(또는 Hct 30-33%)의 유지를 위하여 재투여 시 요양급여를 인정함."
381,11g,suspect_micro_as_g,11 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(11g) → ㎍(마이크로그램) 오인 가능.,"❘ 374 ❘ 구 분 세부인정기준 및 방법 2) Hb 11g/dL 또는 Hct 33%까지 요양급여를 인정하며, 진료비 청구 시 매월별 혈액검사 결과치를 첨부 하여야"
381,10g,suspect_micro_as_g,10 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(10g) → ㎍(마이크로그램) 오인 가능.,동 인정기준 이외에는 약값 전액을 환자가 부담토록 함. - 아 래 - 가. 헤모글로불린(Hb) 10g/dL 이하 또는 헤마토크리트 (Hct) 30% 이하이면서 Erythropoietin 500mU/ml 이하
381,12g,suspect_micro_as_g,12 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(12g) → ㎍(마이크로그램) 오인 가능.,"저위험군(IPSS risk category low 또는 Intermediate-1) 환자 나. Hb 12g/dL 또는 Hct 36%까지 요양급여를 인정하며, 진료비 청구 시 매월별 혈액검사 결과치를 첨부하여 야"
403,11g,suspect_micro_as_g,11 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(11g) → ㎍(마이크로그램) 오인 가능.,"tion) 20% 미만 인 경우 나. 임신으로 인한 철결핍성 빈혈의 경우 혈액검사결과 헤모글로빈(Hb) 11g/dL이하이고, 타 경구 철분제제 투여 시 위장장애가 있는 경우에 급여 하며, 투여기간은 4∼6개월로 함."
403,10g,suspect_micro_as_g,10 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(10g) → ㎍(마이크로그램) 오인 가능.,"급여 하며, 투여기간은 4∼6개월로 함. 다. 급성출혈 등으로 인한 산후 빈혈의 경우 혈액검사결과 Hb 10g/dL 이하인 경우에 급여하며, 투여기간은 4주로 함."
404,10g,suspect_micro_as_g,10 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(10g) → ㎍(마이크로그램) 오인 가능.,"는 약값 전액을 환자가 부담토록 함. - 아 래 - 가. 일반 환자 1) 헤모글로빈(Hb) 10g/dL(단, 임신부는 11g/dL) 이하이고 경구투여가 곤란한 경우로서 출혈 등이 있어 철분을 반드시 신"
404,10g,suspect_micro_as_g,10 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(10g) → ㎍(마이크로그램) 오인 가능.,"신속한 투여가 필요한 환자는 Hb 10g/dL 이하인 경우 나. 투석중이 아닌 만성신부전증 환자 Hb 10g/dL 이하인 경우에 투여하고, 목표(유지) 수치는 Hb 11g/dL까지 요양 급여를 인정하며, ○"
404,11g,suspect_micro_as_g,11 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(11g) → ㎍(마이크로그램) 오인 가능.,"나. 투석중이 아닌 만성신부전증 환자 Hb 10g/dL 이하인 경우에 투여하고, 목표(유지) 수치는 Hb 11g/dL까지 요양 급여를 인정하며, ○Serum ferritin 100ng/mL 미만 또는 Transf"
404,11g,suspect_micro_as_g,11 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(11g) → ㎍(마이크로그램) 오인 가능.,"환자(다만, ferric hydroxide carboxymaltose complex 주사제는 제외) Hb 11g/dL 이하인 경우에 투여 시 인정하며, 1) 혈액투석환자는 Serum ferritin 200ng/mL"
406,10g,suspect_micro_as_g,10 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(10g) → ㎍(마이크로그램) 오인 가능.,"rate 20% 미만인 경우 나. 임신으로 인한 철결핍성 빈혈의 경우 혈액검사결과 헤모글로불린(Hb) 10g/㎗ 이하이고 타 경구 철분제제 투여 시 위장장애가 있는 경우에 급여하며, 투여기간은 4~6개월로 함."
406,10g,suspect_micro_as_g,10 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(10g) → ㎍(마이크로그램) 오인 가능.,"급여하며, 투여기간은 4~6개월로 함. 다. 급성출혈 등으로 인한 산후 빈혈의 경우 혈액검사결과 Hb 10g/㎗ 이하인 경우에 급여하며, 투여기간은 4주로 함. (고시 제2013-127호, ʼ13.9.1.)"
410,40g,suspect_micro_as_g,40 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(40g) → ㎍(마이크로그램) 오인 가능.,"며, 동 인정기준 이외 에는 약값 전액을 환자가 부담토록 함. - 아 래 - 1일 식이 단백 섭취량이 40g 이하(성인기준)로 제한되어 있는 진행성 만성신부전으로 판정받은 환자로서 가. 투석 전 환자 중 혈청 크레"
410,4.0g,suspect_micro_as_g,4.0 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(4.0g) → ㎍(마이크로그램) 오인 가능.,"환자 중 혈청 크레아티닌 2.0mg/dL- 5.0mg/dL인 환자 나. 혈액투석 환자 중 알부민 수치가 4.0g/dL 이하이면서 고인산혈증(5.5mg/dL 초과) 환자 (고시 제2013-127호, ʼ13.9.1.)"
414,5g,suspect_micro_as_g,5 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(5g) → ㎍(마이크로그램) 오인 가능.,"세부인정기준 및 방법 ※ 치명적 출혈, 증상이 있는 두개강 내 출혈, 5g/dL 이상의 헤모글로빈 감소 또는 4 단위 이상 의 혈액 또는 농축 적혈구 수혈을 요하는 출혈,"
414,5g,suspect_micro_as_g,5 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(5g) → ㎍(마이크로그램) 오인 가능.,"승압제 투약이 필요할 정도의 저혈압을 초래하는 출혈, 수술이 필요한 출혈 나. 투여횟수: 1회(5g) (고시 제2019-21호, ʼ19.2.1.) [332] Oxidized regenerated cellu"
478,9.0g,suspect_micro_as_g,9.0 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(9.0g) → ㎍(마이크로그램) 오인 가능.,"1) 성인(18∼70세)으로 경증-중등도의 증상을 보이는 경우 2) 혈액학적 검사결과 헤모글로빈이 9.0g/dL 이상이고 혈소판 수치가 50,000/μL 이상인 경우 3) 효소대체요법이 불가능한 경우(효소"
568,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,"n을 투여한 경우 - 1주간의 doxycycline 또는 minocycline 투여 후, 첫 날 1g 1일 1회, 둘째 날부터 1일 1회 500mg을 3일간 투여 (총 투여량 2.5g) 나) 초치료로"
568,2.5g,suspect_micro_as_g,2.5 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2.5g) → ㎍(마이크로그램) 오인 가능.,"경우 - 첫 날 1g 1일 1회, 둘째 날부터 1일 1회 500mg을 3일간 투여 (총 투여량 2.5g) 3. 허가사항 범위를 초과하여 아래와 같은 기준으로 투여 시 약값 전액을 환자가 부담토록 함. - 아"
620,1.5g,suspect_micro_as_g,1.5 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1.5g) → ㎍(마이크로그램) 오인 가능.,"정 ⑤ 자발적 세균성 복막염(Spontaneous bacterial peritonitis): 진단 시 1.5g/kg, 3일째 1g/kg 투여 인정. 단, serum creatinine>1mg/dL 또는 BUN>30"
620,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,"복막염(Spontaneous bacterial peritonitis): 진단 시 1.5g/kg, 3일째 1g/kg 투여 인정. 단, serum creatinine>1mg/dL 또는 BUN>30mg/dL 또는 to"
620,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,"함 ⑥ 간신증후군(Hepatorenal syndrome): Type I에 혈관수축제와 병용 시 첫날 1g/kg, 이후 2~15일 동안 20~40g/day 인정 단, ④치료적 복수천자, ⑤자발적 세균성복막"
620,40g,suspect_micro_as_g,40 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(40g) → ㎍(마이크로그램) 오인 가능.,"l syndrome): Type I에 혈관수축제와 병용 시 첫날 1g/kg, 이후 2~15일 동안 20~40g/day 인정 단, ④치료적 복수천자, ⑤자발적 세균성복막염, ⑥간신증후군은 혈중 알부민 수치에 관"
621,1.5g,suspect_micro_as_g,1.5 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1.5g) → ㎍(마이크로그램) 오인 가능.,"(MRI) 등으로 Vasospasm(뇌혈관 연축)이 확인된 경우에 한해 혈중 알부민 수치에 관계없이 1-1.5g/kg/day 용량으로 7일까지 투여 시 요양급여를 인정하고, 그 이상 투 여가 필요하여 투여한 경우에는"
629,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,있는 경우 2) 투여용량 : 400mg/kg/day × 5일 또는 허가사항 범위(용법·용량)를 초과하여 1g/kg/day × 2일 3) 재투여 인정 기준 다음의 “치료와 연관된 변동(Treatment related
631,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,우는 사례별로 인정함. 2) 투여용량 및 기간 가) 중증패혈증 : 허가사항 범위(용법·용량)를 초과하여 1g/kg를 2-3일간 나누어서 투여 나) 신생아패혈증 : 허가사항 범위를 초과하여 1g/kg로 투여 라. 특
631,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,"용법 및 인정기간: 400mg/kg/day를 5일간 투여하거나, 허가사항 범위(용법·용량)를 초과 하여 1g/kg/day로 2일간 또는 2g/kg/ day로 1일간 투여 2) 소아(만 16세 미만 소아에 적용) 가"
632,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,"용량 및 인정기간: 400mg/kg/day를 5일간 투여하거나, 허가사항 범위(용법·용량)를 초과하여 1g/kg/day로 2일간 또는 2g/kg/day로 1일간 투여[※주: 만성 ITP란 발병 6개월내에 관해 ("
632,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,"kg/day를 5일간 투여하거나, 허가사항 범위(용법·용량)를 초과하여 1g/kg/day로 2일간 또는 2g/kg/day로 1일간 투여[※주: 만성 ITP란 발병 6개월내에 관해 (Remission)가 나타나지 않"
634,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,❘ 627 ❘ 구 분 세부인정기준 및 방법 경우 2) 투여 용량: 400mg/kg/dayx5일 (또는 2g/kg/day을 2-5회 분할투여) 다. 골수이식(제대혈 조혈모세포이식 포함)후 감염 위험이 있는 경우에
634,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,"스테로이드와 기존의 면역억제제 치료에 부작용이 있거나 반응이 없는 경우 2) 투여용량 및 기간 1.5~2g/kg을 2∼5일에 걸쳐 투여하며 2~4주 간격으로 3회까지 인정하며, 그 이후 투여횟수부터는 전액본인부"
635,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,"❘ 628 ❘ 구 분 세부인정기준 및 방법 확진된 경우 총 2g/kg 범위 내에서 투여 사. 다병소성 운동신경병증(Multifocal Motor Neuropathy, M"
635,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,"Motor Neuropathy, MMN)에 투여 시 다음과 같은 경우에 인정함 ○ 투여용량 및 기간 총 2g/kg(2∼5일에 걸쳐) 투여를 인정하고 이후 반응이 있는 경우에는 2∼4주 간격으로 1g/kg(또는 4"
635,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,및 기간 총 2g/kg(2∼5일에 걸쳐) 투여를 인정하고 이후 반응이 있는 경우에는 2∼4주 간격으로 1g/kg(또는 4∼8주 간격으로 2g/kg)을 투여할 수 있음. 아. 만성염증성탈수초다발성신경병증(CIDP
635,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,걸쳐) 투여를 인정하고 이후 반응이 있는 경우에는 2∼4주 간격으로 1g/kg(또는 4∼8주 간격으로 2g/kg)을 투여할 수 있음. 아. 만성염증성탈수초다발성신경병증(CIDP ; Chronic Inflamma
635,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,"개월 이상 해당 약제에 불응성, 재발성인 환자로서 mRS※ ≥ 3점인 경우 2) 투여용량 및 기간 ○ 총 2g/kg(2~5일에 걸쳐) 투여를 인정하고, 호전되었다가 이후 다시 악화된 경우(mRS※ ≥ 3점 또는 1"
635,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,"투여를 인정하고, 호전되었다가 이후 다시 악화된 경우(mRS※ ≥ 3점 또는 1점 이상 증가)에는 총 2g/kg(2~5일에 걸쳐) 투여 후 2~4주 간격으로 1g/kg(또는 4~8주 간격으로 2g/kg)을 6개"
635,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,mRS※ ≥ 3점 또는 1점 이상 증가)에는 총 2g/kg(2~5일에 걸쳐) 투여 후 2~4주 간격으로 1g/kg(또는 4~8주 간격으로 2g/kg)을 6개월간 투여할 수 있음. 3) 혈장분리교환술(Plasmap
635,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,증가)에는 총 2g/kg(2~5일에 걸쳐) 투여 후 2~4주 간격으로 1g/kg(또는 4~8주 간격으로 2g/kg)을 6개월간 투여할 수 있음. 3) 혈장분리교환술(Plasmapheresis)과 Human imm
636,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,corticosteroid에 불충분한 반 응을 보이거나 부작용 또는 금기 등으로 투여할 수 없는 경우 총 2g/kg 범위 내에서 인정. 차. 자가면역성뇌염(Autoimmune encephaltis) 환자 중 mRS※
636,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,4) 뇌염을 시사하는 MRI 소견 다) 바이러스성 뇌염 등 다른 원인을 배제 2) 투여용량 및 기간 ○ 총 2g/kg(2∼5일에 걸쳐) 투여를 인정하고 이 후 추가 투여 필요시 4주 간격으로 1g/kg을 2일에 걸쳐
636,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,용량 및 기간 ○ 총 2g/kg(2∼5일에 걸쳐) 투여를 인정하고 이 후 추가 투여 필요시 4주 간격으로 1g/kg을 2일에 걸쳐 투여 가능함 ※ Modified Rankin Scale(mRS) 0 - No sy
637,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,"또는, 나) 주요장기 출혈이 동반되고 혈소판 10만이하 (≦ 100 x 103/uL) 2) 투여용량: 1g/kg/day × 2일 ※ “추정” 또는 “확진”의 정의는 코로나19 예방접종 대응 추진단 발간 「코로나1"
638,1g,suspect_micro_as_g,1 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(1g) → ㎍(마이크로그램) 오인 가능.,"치료가 있었던 환자에서 증상 재발 시 2) 용법 및 인정기간: 400mg/kg/day × 5일 (또는, 1g/kg/day × 2일, 2g/kg/day × 1일) 3. 허가사항 범위를 초과하여 아래와 같은 기준으로 투"
638,2g,suspect_micro_as_g,2 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(2g) → ㎍(마이크로그램) 오인 가능.,"재발 시 2) 용법 및 인정기간: 400mg/kg/day × 5일 (또는, 1g/kg/day × 2일, 2g/kg/day × 1일) 3. 허가사항 범위를 초과하여 아래와 같은 기준으로 투여 시 약값 전액을 환자가"
650,10g,suspect_micro_as_g,10 ㎍,g(그램)로 OCR되었으나 제형 힌트+소량(10g) → ㎍(마이크로그램) 오인 가능.,기관의 정상 하한치 미만 (2) 분열적혈구(schistocytes) (3) 헤모글로빈 < 10g/dL (4) lactate dehydrogenase(LDH): 정상 상한치의 1.5배 이상
55,0.1g,review_micro_as_g,0.1 ㎍ (검토),g(그램)로 OCR되었으나 소량(0.1g) → ㎍ 오인 가능성. 문맥 검토 요망.,············································ 654 Rebamipide 0.1g/5ml 외용제······························· 177 Recombinant bloo
91,75g,review_micro_as_g,75 ㎍ (검토),g(그램)로 OCR되었으나 소량(75g) → ㎍ 오인 가능성. 문맥 검토 요망.,당 ≥ 126mg/dl 다) 당뇨의 전형적인 증상과 임의혈장혈당 ≥ 200mg/dl 라) 75g 경구당부하검사 후 2시간 혈장혈당 ≥ 200mg/dl 2) 병용요법 가) 2제요법
221,1g,review_micro_as_g,1 ㎍ (검토),g(그램)로 OCR되었으나 소량(1g) → ㎍ 오인 가능성. 문맥 검토 요망.,"24h 또는 ＞3g/g)가 있는 경우 나) 최소 3개월동안 보존적인 치료에도 불구하고, 단백뇨가 1g/24h이상(또는 1g/g 이상)인 경우 마. 동종각막이식술: 1) Cyclosporine에 부작용"
221,1g,review_micro_as_g,1 ㎍ (검토),g(그램)로 OCR되었으나 소량(1g) → ㎍ 오인 가능성. 문맥 검토 요망.,")가 있는 경우 나) 최소 3개월동안 보존적인 치료에도 불구하고, 단백뇨가 1g/24h이상(또는 1g/g 이상)인 경우 마. 동종각막이식술: 1) Cyclosporine에 부작용이 있거나, Cyclo"
221,1g,review_micro_as_g,1 ㎍ (검토),g(그램)로 OCR되었으나 소량(1g) → ㎍ 오인 가능성. 문맥 검토 요망.,2) 치료목적으로 투여 시 가) 투여대상: 스테로이드 저항성 또는 금기 환자 나) 투여용량: 1g 또는 15mg/kg을 1일 2회 아. 중증근무력증: Azathioprine 또는 스테로이드제에
374,10g,review_micro_as_g,10 ㎍ (검토),g(그램)로 OCR되었으나 소량(10g) → ㎍ 오인 가능성. 문맥 검토 요망.,가. 만성신부전 환자의 빈혈치료(철결핍성 빈혈로 진단된 환자는 제외함) 1) 헤모글로불린(Hb) 10g/dL 이하 또는 헤마토크리트 (Hct) 30% 이하인 경우(투석을 받고 있지 않는 환자는 사구체여과율(G
375,10g,review_micro_as_g,10 ㎍ (검토),g(그램)로 OCR되었으나 소량(10g) → ㎍ 오인 가능성. 문맥 검토 요망.,. 항암화학요법(Chemotherapy)을 받고 있는 비골수성 악성종양 환자의 빈혈치료 1) Hb 10g/dL 이하 또는 Hct 30% 이하인 경우 2) Hb 12g/dL 또는 Hct 36%까지 요양급여를
376,10g,review_micro_as_g,10 ㎍ (검토),g(그램)로 OCR되었으나 소량(10g) → ㎍ 오인 가능성. 문맥 검토 요망.,가. 만성신부전 환자의 빈혈치료(철결핍성 빈혈로 진단된 환자는 제외함) 1) 헤모글로불린(Hb) 10g/dL 이하 또는 헤마토크리트 (Hct) 30% 이하인 경우(투석을 받고 있지 않는 환자는 사구체여과율(G
376,10g,review_micro_as_g,10 ㎍ (검토),g(그램)로 OCR되었으나 소량(10g) → ㎍ 오인 가능성. 문맥 검토 요망.,. 항암화학요법(Chemotherapy)을 받고 있는 비골수성 악성종양 환자의 빈혈치료 1) Hb 10g/dL 이하 또는 Hct 30% 이하인 경우 2) Hb 12g/dL 또는 Hct 36%까지 요양급여를
380,10g,review_micro_as_g,10 ㎍ (검토),g(그램)로 OCR되었으나 소량(10g) → ㎍ 오인 가능성. 문맥 검토 요망.,가. 만성신부전 환자의 빈혈치료(철결핍성 빈혈로 진단된 환자는 제외함) 1) 헤모글로불린(Hb) 10g/dL 이하 또는 헤마토크리트 (Hct) 30% 이하인 경우(투석을 받고 있지 않는 환자는 사구체여과율(G
404,11g,review_micro_as_g,11 ㎍ (검토),g(그램)로 OCR되었으나 소량(11g) → ㎍ 오인 가능성. 문맥 검토 요망.,"담토록 함. - 아 래 - 가. 일반 환자 1) 헤모글로빈(Hb) 10g/dL(단, 임신부는 11g/dL) 이하이고 경구투여가 곤란한 경우로서 출혈 등이 있어 철분을 반드시 신속하게 투여할 필요성이 있는"
404,10g,review_micro_as_g,10 ㎍ (검토),g(그램)로 OCR되었으나 소량(10g) → ㎍ 오인 가능성. 문맥 검토 요망.,"n) 20% 미만인 경우 2) 수술, 출산 등으로 인한 출혈로 신속한 투여가 필요한 환자는 Hb 10g/dL 이하인 경우 나. 투석중이 아닌 만성신부전증 환자 Hb 10g/dL 이하인 경우에 투여하고, 목표"
405,10g,review_micro_as_g,10 ㎍ (검토),g(그램)로 OCR되었으나 소량(10g) → ㎍ 오인 가능성. 문맥 검토 요망.,turation 30% 미만인 경우 라. 항암화학요법을 받고 있는 비골수성 악성종양을 가진 환자 Hb 10g/dL 이하인 경우로서 1) 경구투여가 곤란한 환자로 Serum ferritin 100ng/mL 미
568,1g,review_micro_as_g,1 ㎍ (검토),g(그램)로 OCR되었으나 소량(1g) → ㎍ 오인 가능성. 문맥 검토 요망.,"genitalium에 의한 비임균성 단순 생식기 감염 ○ 투여방법 1) 초치료 시 - 1g 한 번 투여 - 첫 날 500mg 1일 1회, 둘째 날부터 1일 1회 250mg을 4일간 투여"
